Homonym,Index,S1,S2,S3
carry,"2,2,1",You must carry your camping gear .,The student carries his bag on his shoulder .,Sound carries well over water .
break,"1,2,0",Michael broke the glass door on his way to the icecream truck .,The wholesaler broke the container loads into palettes and boxes for local retailers .,Break an alibi .
academy,"1,6,2",The Academy of Music .,I learned new concepts from Khan Academy .,The French Academy .
despite,"1,1,5",The despite in which outsiders were held is legendary .,The despite done by him to the holly relics .,She wanted neither favor nor despite .
fall,"0,1,2",Fall by the wayside .,Niagra falls .,The cities fell to the enemy .
shock,"4,0,1",Alex is undergoing a shock therapy .,Electric shocks can be fatal .,The armies met in the shock of battle .
play,"3,2,0",This speech didn't play well with the American public .,He is playing for keeps .,Play football .
make,"3,2,0",What do you make of his remarks ?,Does this make sense to you ?,Make a dress .
break,"3,3,4",There was a break in the action when a player was hurt .,I need a break from studying .,He was up two breaks in the second set .
life,"1,1,13",His life was full of advanture .,The life of this milk carton may be thousands of years in this landfill .,It was a heavy play and the actors tried in vain to give life to it .
do,0-1,All you ever do is surf the Internet .,,A ' B ' grade does n't suffice to get me into medical school .
play,13.Mar,Play fair .,,Play football .
see,44986,What message do you see in this letter ?,,We had to see a psychiatrist .
answer,45047,She did n't want to answer .,,This may answer her needs .
head,45047,Tickets are $ 5 per head .,,He is two heads taller than his little sister .
break,44928,Break into tears .,,"If the vase falls to the floor , it might break ."
carry,44968,These bonds carry warrants .,,She carries her ideas to the extreme .
shot,0-2,He wanted a shot at the champion .,,I caught him with a solid shot to the chin .
body,4-0,The body of the car was badly rusted .,,"Penny was in the scullery , pressing the body of her new dress ."
recognition,45143,She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own .,,Give her recognition for trying .
shift,4-0,You have to shift when you go down a steep hill .,,He shifted in his seat .
follow,3-0,Let 's follow our great helmsman !,,He followed his lecture with a question and answer period .
make,44934,She may not make the grade .,,Make a stir .
head,45019,Under the head of minor Roman poets .,,They tracked him back toward the head of the stream .
give,44939,Give a divorce .,,The wall gave in .
fall,44932,Fall by the wayside .,,To fall a tree .
make,0-1,She may not make the grade .,,He made twenty bucks playing poker last night .
give,45049,Give a yelp .,,This student gives promise of real creativity .
cut,0-0,Cut a movie scene .,,Cut a Ping-Pong ball .
seat,44989,He was elected to a seat in the Senate .,,He dusted off the seat before sitting down .
make,44989,Make enemies .,,What do you make of his remarks ?
make,45019,We should make Cincinnati by 7 tonight .,,Make the bed .
tea,44960,Tea has fragrant white flowers .,,Iced tea is a cooling drink .
take,44962,Take sick .,,I estimate the trip will take about ten minutes .
head,44990,The head of the compass needle is pointing due north .,,200 head of cattle .
space,0-10,The astronauts walked in outer space without a tether .,,The space between his teeth .
score,44927,What was your score on your homework ?,,The score was 7 to 0 .
fix,44931,"Fix breakfast for the guests , please .",,That 'll fix him good !
head,44964,Matters came to a head yesterday .,,The head of the column advanced boldly .
show,44928,He bet $ 2 on number six to show .,,I showed the customer the glove section .
cut,45080,The employer wants to cut back health benefits .,,Cut trenches .
run,45139,These dyes and colors are guaranteed not to run .,,The sale will run for ten days .
see,0-0,Now I see !,,I want to see whether she speaks French .
drive,44966,Drive the cows into the barn .,,Their debts finally drove them to sell the business .
bit,44929,A bit of lint .,,The horse was not accustomed to a bit .
stir,44959,Stir the soil .,,Stir emotions .
trace,44928,Trace your path .,,Trace the outline of a figure in the sand .
body,1-0,"Penny was in the scullery , pressing the body of her new dress .",,Heavenly body .
hold,0-1,I hold with those who say life is sacred .,,Hold all calls to the President 's office while he is in a meeting .
build,3-0,Build a reputation .,,Build detergents .
smooth,45079,Smooth the way towards peace negotiations .,,Smooth the surface of the wood .
carry,44932,We carry a very large mortgage .,,The troops carried the town after a brief fight .
house,0-2,The children were playing house .,,She felt she had to get out of the house .
break,1-0,Break a law .,,Her voice broke to a whisper when she started to talk about her children .
catch,0-1,Catch the mood .,,Do n't catch your meaning .
vegetate,45051,The fields vegetate vigorously .,,The bacterial growth vegetated along .
drag,44927,Peeling potatoes is a drag .,,He took a drag on his cigarette and expelled the smoke slowly .
score,44988,He tried to blame the victim but his success on that score was doubtful .,,Settling a score .
head,44929,She gave great head .,,They tracked him back toward the head of the stream .
breath,45086,He took a deep breath and dived into the pool .,,I could feel the runner 's breath on my shoulder .
stuff,0-2,What is all that stuff on your bedroom floor ?,,You do n't have the stuff to be a United States Marine .
raise,0-0,Raise a mutiny .,,Raise the roof .
fire,45113,We sat around the fire singing songs and telling stories .,,Barbecue over an open fire .
start,45021,Start a new job .,,I start my day with a good breakfast .
do,0-3,Do nothing .,,A ' B ' grade does n't suffice to get me into medical school .
cut,2-0,Cut a check .,,Cut the rope .
ream,45232,Ream oranges .,,The dentist reamed out the debris in the course of the root canal treatment .
run,0-1,Do n't run that software unless you have permission . ' .,,Run rogue .
keep,0-5,May God keep you .,,The student was kept after school .
work,45111,Work one 's way through the crowd .,,She never worked because she inherited a lot of money .
draw,44927,Draw water for a bath .,,Draw parallels .
make,0-1,Clothes make the man .,,He made to speak but said nothing in the end .
admit,44931,We 'll have to vote on whether or not to admit a new member .,,He admitted his guilt .
take,44929,You ca n't take credit for this !,,We took an apartment on a quiet street .
make,45050,Make a mess in one 's office .,,She 'll make a fine president .
stake,45112,I will stake my good reputation for this .,,Stake your goat .
order,44986,The machine is now in working order .,,A friend in New Mexico said that the order caused no trouble out there .
stuff,0-2,There 's good stuff in that book .,,The stuff of heros .
raise,44930,Raise a smile .,,Raise your ` o ' .
place,44934,If you were in my place what would you do ?,,He has a special place in my thoughts .
take,44986,Take steps .,,Shall we take a guide in Rome ?
head,4-0,They say he gives good head .,,The head of the list .
